USER        PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          1  3.3  0.1 119912  6148 ?        Ss   23:22   0:02 /sbin/init auto noprompt
root        209  0.0  0.0      0     0 ?        I<   23:22   0:00 [scsi_tmf_13]
root        210  0.0  0.0      0     0 ?        S    23:22   0:00 [scsi_eh_14]
root        211  0.0  0.0      0     0 ?        I<   23:22   0:00 [scsi_tmf_14]
root        212  0.0  0.0      0     0 ?        S    23:22   0:00 [scsi_eh_15]
root        213  0.0  0.0      0     0 ?        I<   23:22   0:00 [scsi_tmf_15]
root        214  0.0  0.0      0     0 ?        S    23:22   0:00 [scsi_eh_16]
root        215  0.0  0.0      0     0 ?        I<   23:22   0:00 [scsi_tmf_16]
root        216  0.0  0.0      0     0 ?        S    23:22   0:00 [scsi_eh_17]
root        217  0.0  0.0      0     0 ?        I<   23:22   0:00 [scsi_tmf_17]
root        218  0.0  0.0      0     0 ?        S    23:22   0:00 [scsi_eh_18]
root        219  0.0  0.0      0     0 ?        I<   23:22   0:00 [scsi_tmf_18]
root        220  0.0  0.0      0     0 ?        S    23:22   0:00 [scsi_eh_19]
root        221  0.0  0.0      0     0 ?        I<   23:22   0:00 [scsi_tmf_19]
root        222  0.0  0.0      0     0 ?        S    23:22   0:00 [scsi_eh_20]
root        223  0.0  0.0      0     0 ?        I<   23:22   0:00 [scsi_tmf_20]
root        224  0.0  0.0      0     0 ?        S    23:22   0:00 [scsi_eh_21]
root        225  0.0  0.0      0     0 ?        I<   23:22   0:00 [scsi_tmf_21]
root        226  0.0  0.0      0     0 ?        S    23:22   0:00 [scsi_eh_22]
root        227  0.0  0.0      0     0 ?        I<   23:22   0:00 [scsi_tmf_22]
root        228  0.0  0.0      0     0 ?        S    23:22   0:00 [scsi_eh_23]
root        229  0.0  0.0      0     0 ?        I<   23:22   0:00 [scsi_tmf_23]
root        230  0.0  0.0      0     0 ?        S    23:22   0:00 [scsi_eh_24]
root        231  0.0  0.0      0     0 ?        I<   23:22   0:00 [scsi_tmf_24]
root        232  0.0  0.0      0     0 ?        S    23:22   0:00 [scsi_eh_25]
root        233  0.0  0.0      0     0 ?        I<   23:22   0:00 [scsi_tmf_25]
root        234  0.0  0.0      0     0 ?        S    23:22   0:00 [scsi_eh_26]
root        235  0.0  0.0      0     0 ?        I<   23:22   0:00 [scsi_tmf_26]
root        236  0.0  0.0      0     0 ?        S    23:22   0:00 [scsi_eh_27]
